Country,GDPDispersion,Income Dispersion (I am unsure about Eurostat income data).,"GDP Theil Index (unsafe, do not use without verification).","Income Theil Index (unsafe, do not use without verification).",Year
EU,NaN,0,NaN,0,2000
EU,NaN,0,NaN,0,2001
EU,NaN,0,NaN,0,2002
EU,NaN,0,NaN,0,2003
EU,NaN,0,NaN,0,2004
EU,NaN,0,NaN,0,2005
EU,NaN,0,NaN,0,2006
EU,NaN,0,NaN,0,2007
EU,NaN,0,NaN,0,2008
EU,NaN,0,NaN,0,2009
EU,NaN,0,NaN,0,2010
EU,NaN,0,NaN,0,2011
EU,NaN,0,NaN,0,2012
EU,NaN,0,NaN,0,2013
EU,NaN,0,NaN,0,2014
EU,NaN,0,NaN,0,2015
EU,NaN,0,NaN,0,2016
EU,NaN,0,NaN,0,2017
BE,NaN,0,NaN,0,2000
BE,NaN,0,NaN,0,2001
BE,NaN,0,NaN,0,2002
BE,24.7,11.4,0.00508,0.01041,2003
BE,25.2,11.5,0.0051,0.01055,2004
BE,25.9,11.8,0.00523,0.01044,2005
BE,25,11.5,0.00485,0.00969,2006
BE,24.6,11.5,0.00467,0.00977,2007
BE,24.3,11.4,0.00442,0.00948,2008
BE,24.5,11.5,0.00455,0.00961,2009
BE,24.7,11.8,0.0045,0.00965,2010
BE,23.9,11.7,0.00432,0.00937,2011
BE,24,12,0.00425,0.00979,2012
BE,23.9,11.9,0.00418,0.00943,2013
BE,23.3,12.1,0.00398,0.0098,2014
BE,23.8,12.4,0.0041,0.00993,2015
BE,23.8,12,0.00405,0.00947,2016
BE,23.4,NaN,0.00389,NaN,2017
BG,19.2,16.2,0.00404,0.01652,2000
BG,21.4,19.6,0.00488,0.01916,2001
BG,24,17.4,0.00597,0.01733,2002
BG,24.8,15.7,0.0063,0.01363,2003
BG,26,15.9,0.00683,0.01406,2004
BG,26.5,15.1,0.00716,0.01491,2005
BG,31.2,16.1,0.00974,0.01628,2006
BG,35.7,20.2,0.01237,0.01838,2007
BG,37.1,22.7,0.01347,0.02614,2008
BG,38.3,26.2,0.01422,0.03382,2009
BG,39.9,30.5,0.01529,0.04487,2010
BG,38.7,26.2,0.01421,0.03671,2011
BG,36.7,32.1,0.0129,0.05126,2012
BG,36.1,31.9,0.01255,0.04807,2013
BG,35.5,33.3,0.01214,0.0527,2014
BG,36.5,32.9,0.0127,0.05079,2015
BG,36.5,35,0.01286,0.05723,2016
BG,35.9,36.9,0.01238,0.0645,2017
CZ,22.4,10.6,0.00652,0.01049,2000
CZ,23.4,10.4,0.00709,0.01119,2001
CZ,24,11.9,0.00742,0.01338,2002
CZ,25.2,13,0.00802,0.01562,2003
CZ,25.2,12.4,0.00798,0.0148,2004
CZ,26,12,0.00837,0.01401,2005
CZ,26.2,12.6,0.00847,0.01513,2006
CZ,27.2,12.2,0.00903,0.01423,2007
CZ,27.7,11.2,0.00921,0.01202,2008
CZ,27.3,11.6,0.0089,0.01167,2009
CZ,27.6,13.2,0.00902,0.01492,2010
CZ,26.2,12.4,0.00828,0.01307,2011
CZ,25.8,11.9,0.0081,0.01211,2012
CZ,25.7,11.6,0.00809,0.01253,2013
CZ,24.6,11.2,0.00748,0.01175,2014
CZ,26.4,10.3,0.00844,0.01066,2015
CZ,26.3,11.3,0.00837,0.01085,2016
CZ,26.5,NaN,0.00848,NaN,2017
DK,15.3,7.7,0.00323,0.0036,2000
DK,15.3,7.7,0.00318,0.00353,2001
DK,13.6,7.9,0.00263,0.0036,2002
DK,14.1,7.4,0.00277,0.00333,2003
DK,15.6,7.4,0.00322,0.00313,2004
DK,17.9,7.3,0.00405,0.00313,2005
DK,15.1,7.1,0.00312,0.00287,2006
DK,14.9,7,0.00317,0.0027,2007
DK,16,7.5,0.0037,0.00307,2008
DK,16.1,8.4,0.00372,0.00371,2009
DK,18.4,8.5,0.00443,0.00377,2010
DK,16.7,8.5,0.0039,0.00361,2011
DK,17.6,8.8,0.00408,0.00374,2012
DK,18.2,8.5,0.00438,0.00356,2013
DK,19,9.4,0.00472,0.00424,2014
DK,20,9.5,0.00497,0.0044,2015
DK,19.7,9.6,0.0049,0.00448,2016
DK,19.8,9.3,0.00493,0.0042,2017
DE,19.7,14,0.00087,0.01622,2000
DE,20.4,14.2,0.00091,0.01634,2001
