Country,GDPDispersion,Income Dispersion (I am unsure about Eurostat income data).,"GDP Theil Index (unsafe, do not use without verification).","Income Theil Index (unsafe, do not use without verification).",Year,RegionsConsideredForIncome,RegionsConsideredForGDP
BE,NaN,10.5,NaN,0.01012,1995,0,11
BE,NaN,10.8,NaN,0.01082,1996,0,11
BE,NaN,11.2,NaN,0.0114,1997,0,11
BE,NaN,11.5,NaN,0.01198,1998,0,11
BE,NaN,11.5,NaN,0.01165,1999,0,11
BE,25,11.4,0.00524,0.01183,2000,0,11
BE,25.3,11.8,0.00535,0.01195,2001,0,11
BE,25.2,12,0.00534,0.01176,2002,0,11
BE,24.7,11.3,0.00508,0.01023,2003,0,11
BE,25.2,11.4,0.00512,0.01022,2004,0,11
BE,25.9,11.7,0.00524,0.01024,2005,0,11
BE,25,11.5,0.00484,0.00966,2006,0,11
BE,24.6,11.4,0.00468,0.00931,2007,0,11
BE,24.3,11.6,0.00442,0.00947,2008,0,11
BE,25.4,11.7,0.0049,0.0098,2009,0,11
BE,25.2,11.9,0.00478,0.00978,2010,0,11
BE,24.4,12,0.00456,0.00977,2011,0,11
BE,24.8,12.3,0.00461,0.01023,2012,0,11
BE,24.7,12.2,0.00453,0.00996,2013,0,11
BE,24.5,12.3,0.0045,0.01007,2014,0,11
BE,24.9,12.6,0.00455,0.01045,2015,0,11
BE,24.8,12.3,0.00443,0.01003,2016,0,11
BE,24.4,12.1,0.00431,0.00971,2017,0,11
BE,24.2,NaN,0.00423,NaN,2018,0,11
BG,NaN,NaN,NaN,NaN,1995,0,0
BG,NaN,NaN,NaN,NaN,1996,0,0
BG,NaN,NaN,NaN,NaN,1997,0,0
BG,NaN,NaN,NaN,NaN,1998,0,0
BG,NaN,NaN,NaN,NaN,1999,0,0
BG,19.1,16,0.00417,0.01544,2000,0,6
BG,21,19.6,0.00473,0.01885,2001,0,6
BG,23.7,16.8,0.00587,0.01616,2002,0,6
BG,24.6,14.7,0.00619,0.01214,2003,0,6
BG,26,15.2,0.00683,0.01279,2004,0,6
BG,26.9,14.2,0.00733,0.01324,2005,0,6
BG,31.4,14.9,0.00979,0.0138,2006,0,6
BG,35.8,18.5,0.0124,0.01534,2007,0,6
BG,37.2,20.9,0.01339,0.02156,2008,0,6
BG,38.7,23.9,0.01437,0.02752,2009,0,6
BG,40.1,27.8,0.01536,0.03676,2010,0,6
BG,38.2,25.3,0.01388,0.03443,2011,0,6
BG,36.6,31,0.01285,0.04799,2012,0,6
BG,36.1,32.2,0.01254,0.04919,2013,0,6
BG,35.6,33.3,0.01227,0.05261,2014,0,6
BG,37.2,33,0.01323,0.05165,2015,0,6
BG,36.5,35.1,0.01289,0.05774,2016,0,6
BG,36.6,36.8,0.01284,0.06463,2017,0,6
BG,36.9,NaN,0.01275,NaN,2018,0,6
CZ,NaN,6.5,NaN,0.00387,1995,0,8
CZ,NaN,6.8,NaN,0.0047,1996,0,8
CZ,NaN,6.9,NaN,0.00506,1997,0,8
CZ,NaN,8.1,NaN,0.00641,1998,0,8
