TIME,TIME_LABEL,GEO,GEO_LABEL,SEX,AGE,UNIT,Value,Flag and Footnotes
2014,2014,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2014,2014,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2014,2014,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2014,2014,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2015,2015,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2015,2015,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2015,2015,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2015,2015,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2016,2016,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2016,2016,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2016,2016,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2016,2016,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2017,2017,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2017,2017,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2017,2017,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2017,2017,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2018,2018,FRX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2018,2018,FRXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2018,2018,HUX,Not regionalised / Unknown NUTS 1,Total,Total,Number,0,
2018,2018,HUXX,Not regionalised / Unknown NUTS 2,Total,Total,Number,0,
2018,2018,ALX,Not regionalised / Unknown level 1,Total,Total,Number,0,
2018,2018,ALXX,Not regionalised / Unknown level 2,Total,Total,Number,0,
2018,2018,MKX,Not regionalised / Unknown level 1,Total,Total,Number,193,
2018,2018,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,193,
2017,2017,MKX,Not regionalised / Unknown level 1,Total,Total,Number,219,
2017,2017,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,219,
2016,2016,MKX,Not regionalised / Unknown level 1,Total,Total,Number,280,
2016,2016,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,280,
2015,2015,MKX,Not regionalised / Unknown level 1,Total,Total,Number,308,
2015,2015,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,308,
2014,2014,MKX,Not regionalised / Unknown level 1,Total,Total,Number,359,
2014,2014,MKXX,Not regionalised / Unknown level 2,Total,Total,Number,359,
1990,1990,FI2,Åland,Total,Total,Number,24231,
1990,1990,FI20,Åland,Total,Total,Number,24231,
1991,1991,FI2,Åland,Total,Total,Number,24604,
1991,1991,FI20,Åland,Total,Total,Number,24604,
1992,1992,FI2,Åland,Total,Total,Number,24847,
1992,1992,FI20,Åland,Total,Total,Number,24847,
1993,1993,FI2,Åland,Total,Total,Number,24993,
1993,1993,FI20,Åland,Total,Total,Number,24993,
1994,1994,FI2,Åland,Total,Total,Number,25102,
1994,1994,FI20,Åland,Total,Total,Number,25102,
1995,1995,FI2,Åland,Total,Total,Number,25158,
1995,1995,FI20,Åland,Total,Total,Number,25158,
1996,1996,FI2,Åland,Total,Total,Number,25202,
1996,1996,FI20,Åland,Total,Total,Number,25202,
1997,1997,FI2,Åland,Total,Total,Number,25257,
1997,1997,FI20,Åland,Total,Total,Number,25257,
1998,1998,FI2,Åland,Total,Total,Number,25392,
1998,1998,FI20,Åland,Total,Total,Number,25392,
1999,1999,FI2,Åland,Total,Total,Number,25625,
1999,1999,FI20,Åland,Total,Total,Number,25625,
2000,2000,FI2,Åland,Total,Total,Number,25706,
2000,2000,FI20,Åland,Total,Total,Number,25706,
2001,2001,FI2,Åland,Total,Total,Number,25776,
2001,2001,FI20,Åland,Total,Total,Number,25776,
2002,2002,FI2,Åland,Total,Total,Number,26008,
2002,2002,FI20,Åland,Total,Total,Number,26008,
2003,2003,FI2,Åland,Total,Total,Number,26257,
