"TIME","GEO","GEO_LABEL","UNIT","UNIT_LABEL","Value","Flag and Footnotes"
"2000","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","8,268,389",""
"2001","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","8,594,820",""
"2002","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","8,913,381",""
"2003","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","9,099,005",""
"2004","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","9,570,108",""
"2005","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","9,967,745",""
"2006","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","10,564,991",""
"2007","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","11,206,855",""
"2008","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","11,301,149",""
"2009","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","10,623,689",""
"2010","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","11,054,982",""
"2011","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","11,371,755",""
"2012","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","11,614,411",""
"2013","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","11,680,508",""
"2014","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","12,109,773",""
"2015","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","12,785,138",""
"2016","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","12,918,098",""
"2017","EU27_2019","European Union - 27 countries (from 2019)","MIO_PPS","Million purchasing power standards (PPS)","13,296,591",""
"2000","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","9,661,152.04",""
"2001","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","10,059,690.09",""
"2002","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","10,427,573.78",""
"2003","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","10,585,010.32",""
"2004","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","11,110,715.57",""
"2005","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","11,605,403.75",""
"2006","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","12,273,220.57",""
"2007","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","13,005,711.41",""
"2008","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","13,086,522.35",""
"2009","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","12,330,593.32",""
"2010","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","12,841,529.67",""
"2011","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","13,217,461.47",""
"2012","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","13,484,171.14",""
"2013","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","13,596,777.25",""
"2014","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","14,072,023",""
"2015","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","14,828,288",""
