"TIME","GEO","GEO_LABEL","UNIT","DIRECT","NA_ITEM","Value","Flag and Footnotes"
"1995","BE","Belgium","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE2","Vlaams Gewest","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE21","Prov. Antwerpen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE22","Prov. Limburg (BE)","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE23","Prov. Oost-Vlaanderen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE24","Prov. Vlaams-Brabant","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE25","Prov. West-Vlaanderen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE3","Région wallonne","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE31","Prov. Brabant Wallon","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE32","Prov. Hainaut","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE33","Prov. Liège","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE34","Prov. Luxembourg (BE)","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE35","Prov. Namur","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BEZ","Extra-Regio NUTS 1","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BEZZ","Extra-Regio NUTS 2","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG","Bulgaria","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG3","Severna i yugoiztochna Bulgaria","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG31","Severozapaden","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG32","Severen tsentralen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG33","Severoiztochen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG34","Yugoiztochen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG41","Yugozapaden","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG42","Yuzhen tsentralen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ","Czechia","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ0","Ceská republika","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ01","Praha","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ02","Strední Cechy","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ03","Jihozápad","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ04","Severozápad","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ05","Severovýchod","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ06","Jihovýchod","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ07","Strední Morava","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ08","Moravskoslezsko","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK","Denmark","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK0","Danmark","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK01","Hovedstaden","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK02","Sjælland","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK03","Syddanmark","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK04","Midtjylland","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK05","Nordjylland","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE1","Baden-Württemberg","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE11","Stuttgart","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE12","Karlsruhe","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE13","Freiburg","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE14","Tübingen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE2","Bayern","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE21","Oberbayern","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE22","Niederbayern","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE23","Oberpfalz","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE24","Oberfranken","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE25","Mittelfranken","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE26","Unterfranken","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE27","Schwaben","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE3","Berlin","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE30","Berlin","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE4","Brandenburg","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE40","Brandenburg","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE5","Bremen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE50","Bremen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE6","Hamburg","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE60","Hamburg","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE7","Hessen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE71","Darmstadt","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE72","Gießen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE73","Kassel","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE8","Mecklenburg-Vorpommern","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE80","Mecklenburg-Vorpommern","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE9","Niedersachsen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE91","Braunschweig","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE92","Hannover","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE93","Lüneburg","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE94","Weser-Ems","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEA","Nordrhein-Westfalen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEA1","Düsseldorf","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEA2","Köln","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEA3","Münster","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEA4","Detmold","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEA5","Arnsberg","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEB","Rheinland-Pfalz","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEB1","Koblenz","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEB2","Trier","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEB3","Rheinhessen-Pfalz","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEC","Saarland","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEC0","Saarland","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DED","Sachsen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DED2","Dresden","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DED4","Chemnitz","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DED5","Leipzig","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEE","Sachsen-Anhalt","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEE0","Sachsen-Anhalt","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEF","Schleswig-Holstein","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEF0","Schleswig-Holstein","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEG","Thüringen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","DEG0","Thüringen","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EE","Estonia","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","IE","Ireland","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","IE0","Éire/Ireland","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","IE04","Northern and Western","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","IE05","Southern","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","IE06","Eastern and Midland","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL","Greece","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL5","Voreia Ellada","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL51","Anatoliki Makedonia, Thraki","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL52","Kentriki Makedonia","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL53","Dytiki Makedonia","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL54","Ipeiros","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL6","Kentriki Ellada","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL61","Thessalia","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL62","Ionia Nisia","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL63","Dytiki Ellada","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL64","Sterea Ellada","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL65","Peloponnisos","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL3","Attiki","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL30","Attiki","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL4","Nisia Aigaiou, Kriti","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL41","Voreio Aigaio","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL42","Notio Aigaio","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","EL43","Kriti","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","ES","Spain","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","ES1","Noroeste (ES)","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","ES11","Galicia","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","ES12","Principado de Asturias","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","ES13","Cantabria","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"1995","ES2","Noreste (ES)","Purchasing power standard (PPS) per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
