"TIME","GEO","GEO_LABEL","UNIT","DIRECT","NA_ITEM","Value","Flag and Footnotes"
"1995","EU27_2020","European Union - 27 countries (from 2020)","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","BE","Belgium","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","147,336.09",""
"1995","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","13,894.36",""
"1995","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","13,894.36",""
"1995","BE2","Vlaams Gewest","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","91,151.79",""
"1995","BE21","Prov. Antwerpen","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","25,046.98",""
"1995","BE22","Prov. Limburg (BE)","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","10,592.38",""
"1995","BE23","Prov. Oost-Vlaanderen","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","20,910.68",""
"1995","BE24","Prov. Vlaams-Brabant","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","18,356.84",""
"1995","BE25","Prov. West-Vlaanderen","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","16,245.01",""
"1995","BE3","Région wallonne","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","42,289.84",""
"1995","BE31","Prov. Brabant wallon","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","6,044.74",""
"1995","BE32","Prov. Hainaut","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","14,783.89",""
"1995","BE33","Prov. Liège","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","12,689.37",""
"1995","BE34","Prov. Luxembourg (BE)","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","3,050.9",""
"1995","BE35","Prov. Namur","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","5,721.04",""
"1995","BEZ","Extra-Regio NUTS 1","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","0",""
"1995","BEZZ","Extra-Regio NUTS 2","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","0",""
"1995","BG","Bulgaria","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG3","Severna i yugoiztochna Bulgaria","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG31","Severozapaden","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG32","Severen tsentralen","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG33","Severoiztochen","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG34","Yugoiztochen","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG41","Yugozapaden","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","BG42","Yuzhen tsentralen","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","CZ","Czechia","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","65,352.51",""
"1995","CZ0","Cesko","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","65,352.51",""
"1995","CZ01","Praha","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","9,362.93",""
"1995","CZ02","Strední Cechy","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","7,211.94",""
"1995","CZ03","Jihozápad","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","7,625.19",""
"1995","CZ04","Severozápad","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","7,234.4",""
"1995","CZ05","Severovýchod","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","9,012.22",""
"1995","CZ06","Jihovýchod","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","9,726.95",""
"1995","CZ07","Strední Morava","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","7,225.25",""
"1995","CZ08","Moravskoslezsko","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net","7,953.64",""
"1995","DK","Denmark","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK0","Danmark","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK01","Hovedstaden","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK02","Sjælland","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK03","Syddanmark","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK04","Midtjylland","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","DK05","Nordjylland","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
"1995","DE","Germany (until 1990 former territory of the FRG)","Million purchasing power standards (PPS)","Balance","Balance of primary incomes/National income, net",":",""
