NUTScode,NUTSlevel,regionName,Value,Year
AT,0,Austria,25700,2000
AT,0,Austria,25700,2001
AT,0,Austria,26700,2002
AT,0,Austria,27100,2003
AT,0,Austria,28500,2004
AT,0,Austria,29600,2005
AT,0,Austria,31000,2006
AT,0,Austria,32300,2007
AT,0,Austria,32500,2008
AT,0,Austria,30900,2009
AT,0,Austria,32000,2010
AT,0,Austria,33400,2011
AT,0,Austria,34900,2012
AT,0,Austria,35100,2013
AT,0,Austria,35700,2014
AT,0,Austria,36900,2015
AT,0,Austria,37200,2016
AT,0,Austria,38100,2017
AT1,1,Ostösterreich,27500,2000
AT1,1,Ostösterreich,27500,2001
AT1,1,Ostösterreich,28600,2002
AT1,1,Ostösterreich,28700,2003
AT1,1,Ostösterreich,30000,2004
AT1,1,Ostösterreich,30800,2005
AT1,1,Ostösterreich,32200,2006
AT1,1,Ostösterreich,33300,2007
AT1,1,Ostösterreich,33500,2008
AT1,1,Ostösterreich,32100,2009
AT1,1,Ostösterreich,33000,2010
AT1,1,Ostösterreich,34100,2011
AT1,1,Ostösterreich,35400,2012
AT1,1,Ostösterreich,35400,2013
AT1,1,Ostösterreich,35900,2014
AT1,1,Ostösterreich,37000,2015
AT1,1,Ostösterreich,37000,2016
AT1,1,Ostösterreich,37700,2017
AT11,2,Burgenland (AT),16700,2000
AT11,2,Burgenland (AT),16800,2001
AT11,2,Burgenland (AT),17800,2002
AT11,2,Burgenland (AT),18300,2003
AT11,2,Burgenland (AT),19400,2004
AT11,2,Burgenland (AT),19600,2005
AT11,2,Burgenland (AT),20200,2006
AT11,2,Burgenland (AT),20900,2007
AT11,2,Burgenland (AT),20800,2008
AT11,2,Burgenland (AT),20300,2009
AT11,2,Burgenland (AT),21300,2010
AT11,2,Burgenland (AT),22100,2011
AT11,2,Burgenland (AT),23700,2012
AT11,2,Burgenland (AT),23900,2013
AT11,2,Burgenland (AT),24600,2014
AT11,2,Burgenland (AT),25800,2015
AT11,2,Burgenland (AT),25700,2016
AT11,2,Burgenland (AT),27100,2017
AT12,2,Niederösterreich,21100,2000
AT12,2,Niederösterreich,20800,2001
AT12,2,Niederösterreich,21500,2002
AT12,2,Niederösterreich,22000,2003
AT12,2,Niederösterreich,23400,2004
AT12,2,Niederösterreich,23900,2005
AT12,2,Niederösterreich,25100,2006
AT12,2,Niederösterreich,26500,2007
AT12,2,Niederösterreich,26700,2008
AT12,2,Niederösterreich,25300,2009
AT12,2,Niederösterreich,26100,2010
AT12,2,Niederösterreich,27300,2011
AT12,2,Niederösterreich,28500,2012
AT12,2,Niederösterreich,28700,2013
AT12,2,Niederösterreich,29300,2014
AT12,2,Niederösterreich,30500,2015
AT12,2,Niederösterreich,30400,2016
AT12,2,Niederösterreich,31100,2017
AT13,2,Wien,35800,2000
AT13,2,Wien,36000,2001
AT13,2,Wien,37400,2002
AT13,2,Wien,37100,2003
AT13,2,Wien,38200,2004
AT13,2,Wien,39400,2005
AT13,2,Wien,41000,2006
AT13,2,Wien,41800,2007
AT13,2,Wien,42100,2008
AT13,2,Wien,40600,2009
AT13,2,Wien,41500,2010
AT13,2,Wien,42500,2011
AT13,2,Wien,43800,2012
AT13,2,Wien,43500,2013
AT13,2,Wien,43700,2014
AT13,2,Wien,44700,2015
AT13,2,Wien,44700,2016
AT13,2,Wien,45200,2017
AT2,1,Südösterreich,21800,2000
AT2,1,Südösterreich,21900,2001
AT2,1,Südösterreich,22600,2002
AT2,1,Südösterreich,23200,2003
AT2,1,Südösterreich,24600,2004
AT2,1,Südösterreich,25800,2005
AT2,1,Südösterreich,26800,2006
AT2,1,Südösterreich,28300,2007
AT2,1,Südösterreich,28300,2008
AT2,1,Südösterreich,26800,2009
AT2,1,Südösterreich,27800,2010
AT2,1,Südösterreich,29200,2011
AT2,1,Südösterreich,30700,2012
AT2,1,Südösterreich,30700,2013
AT2,1,Südösterreich,31500,2014
AT2,1,Südösterreich,32500,2015
AT2,1,Südösterreich,32500,2016
AT2,1,Südösterreich,33900,2017
AT21,2,Kärnten,21300,2000
AT21,2,Kärnten,21100,2001
AT21,2,Kärnten,22100,2002
AT21,2,Kärnten,22700,2003
AT21,2,Kärnten,23800,2004
AT21,2,Kärnten,24900,2005
AT21,2,Kärnten,26000,2006
AT21,2,Kärnten,27500,2007
AT21,2,Kärnten,27400,2008
AT21,2,Kärnten,25900,2009
AT21,2,Kärnten,26800,2010
AT21,2,Kärnten,28400,2011
AT21,2,Kärnten,29400,2012
AT21,2,Kärnten,29400,2013
AT21,2,Kärnten,30200,2014
AT21,2,Kärnten,31200,2015
AT21,2,Kärnten,31600,2016
AT21,2,Kärnten,32600,2017
AT22,2,Steiermark,22100,2000
AT22,2,Steiermark,22200,2001
AT22,2,Steiermark,22800,2002
AT22,2,Steiermark,23400,2003
AT22,2,Steiermark,24900,2004
AT22,2,Steiermark,26200,2005
AT22,2,Steiermark,27200,2006
AT22,2,Steiermark,28700,2007
AT22,2,Steiermark,28700,2008
AT22,2,Steiermark,27200,2009
AT22,2,Steiermark,28200,2010
AT22,2,Steiermark,29600,2011
AT22,2,Steiermark,31300,2012
AT22,2,Steiermark,31300,2013
AT22,2,Steiermark,32100,2014
AT22,2,Steiermark,33100,2015
AT22,2,Steiermark,33000,2016
AT22,2,Steiermark,34500,2017
AT3,1,Westösterreich,25900,2000
AT3,1,Westösterreich,26000,2001
AT3,1,Westösterreich,27000,2002
AT3,1,Westösterreich,27600,2003
AT3,1,Westösterreich,29000,2004
AT3,1,Westösterreich,30500,2005
