"TIME","GEO","GEO_LABEL","UNIT","Value","Flag and Footnotes"
"2000","EU27_2020","European Union - 27 countries (from 2020)","Purchasing power standard (PPS) per inhabitant","19,300",""
"2000","EU28","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS) per inhabitant","19,800",""
"2000","BE","Belgium","Purchasing power standard (PPS) per inhabitant","24,400",""
"2000","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Purchasing power standard (PPS) per inhabitant","49,300","u"
"2000","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Purchasing power standard (PPS) per inhabitant","49,300","u"
"2000","BE2","Vlaams Gewest","Purchasing power standard (PPS) per inhabitant","24,000","u"
"2000","BE21","Prov. Antwerpen","Purchasing power standard (PPS) per inhabitant","28,600","u"
"2000","BE22","Prov. Limburg (BE)","Purchasing power standard (PPS) per inhabitant","20,300","u"
"2000","BE23","Prov. Oost-Vlaanderen","Purchasing power standard (PPS) per inhabitant","21,000","u"
"2000","BE24","Prov. Vlaams-Brabant","Purchasing power standard (PPS) per inhabitant","24,500","u"
"2000","BE25","Prov. West-Vlaanderen","Purchasing power standard (PPS) per inhabitant","22,900","u"
"2000","BE3","Région wallonne","Purchasing power standard (PPS) per inhabitant","17,800","u"
"2000","BE31","Prov. Brabant wallon","Purchasing power standard (PPS) per inhabitant","24,000","u"
"2000","BE32","Prov. Hainaut","Purchasing power standard (PPS) per inhabitant","16,200","u"
"2000","BE33","Prov. Liège","Purchasing power standard (PPS) per inhabitant","18,200","u"
"2000","BE34","Prov. Luxembourg (BE)","Purchasing power standard (PPS) per inhabitant","17,400","u"
"2000","BE35","Prov. Namur","Purchasing power standard (PPS) per inhabitant","16,800","u"
"2000","BEZ","Extra-Regio NUTS 1","Purchasing power standard (PPS) per inhabitant",":",""
"2000","BEZZ","Extra-Regio NUTS 2","Purchasing power standard (PPS) per inhabitant",":",""
"2000","BG","Bulgaria","Purchasing power standard (PPS) per inhabitant","5,600",""
"2000","BG3","Severna i yugoiztochna Bulgaria","Purchasing power standard (PPS) per inhabitant","5,200",""
"2000","BG31","Severozapaden","Purchasing power standard (PPS) per inhabitant","5,000",""
"2000","BG32","Severen tsentralen","Purchasing power standard (PPS) per inhabitant","4,600",""
"2000","BG33","Severoiztochen","Purchasing power standard (PPS) per inhabitant","5,400",""
"2000","BG34","Yugoiztochen","Purchasing power standard (PPS) per inhabitant","5,800",""
"2000","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Purchasing power standard (PPS) per inhabitant","6,100",""
"2000","BG41","Yugozapaden","Purchasing power standard (PPS) per inhabitant","7,600",""
"2000","BG42","Yuzhen tsentralen","Purchasing power standard (PPS) per inhabitant","4,200",""
"2000","CZ","Czechia","Purchasing power standard (PPS) per inhabitant","14,200",""
