Year,RegionCode,RegionName,GDPPerHead,GDPTotal,NUTSLevel,IncomePerHead,IncomeTotal,Population,CountryOrOtherGrouping
1995,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,0,0,2,14601,13894360000,951580,BE
1995,BE21,Prov. Antwerpen,0,0,2,15378,25046980000,1628710,BE
1995,BE22,Prov. Limburg (BE),0,0,2,13728,10592380000,771613,BE
1995,BE23,Prov. Oost-Vlaanderen,0,0,2,15496,20910680000,1349382,BE
1995,BE24,Prov. Vlaams-Brabant,0,0,2,18444,18356840000,995266,BE
1995,BE25,Prov. West-Vlaanderen,0,0,2,14490,16245010000,1121135,BE
1995,BE31,Prov. Brabant wallon,0,0,2,17963,6044740000,336505,BE
1995,BE32,Prov. Hainaut,0,0,2,11490,14783890000,1286649,BE
1995,BE33,Prov. Liège,0,0,2,12502,12689370000,1015007,BE
1995,BE34,Prov. Luxembourg (BE),0,0,2,12697,3050900000,240281,BE
1995,BE35,Prov. Namur,0,0,2,13169,5721040000,434446,BE
1995,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
1996,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,0,0,2,14756,13990570000,948122,BE
1996,BE21,Prov. Antwerpen,0,0,2,15685,25585910000,1631243,BE
1996,BE22,Prov. Limburg (BE),0,0,2,13926,10796930000,775302,BE
1996,BE23,Prov. Oost-Vlaanderen,0,0,2,15818,21382090000,1351777,BE
1996,BE24,Prov. Vlaams-Brabant,0,0,2,18859,18843770000,999186,BE
1996,BE25,Prov. West-Vlaanderen,0,0,2,14685,16488619999.999998,1122849,BE
1996,BE31,Prov. Brabant wallon,0,0,2,18306,6206710000,339062,BE
1996,BE32,Prov. Hainaut,0,0,2,11603,14907580000,1284761,BE
1996,BE33,Prov. Liège,0,0,2,12736,12910620000,1013729,BE
1996,BE34,Prov. Luxembourg (BE),0,0,2,12574,3034590000,241339,BE
1996,BE35,Prov. Namur,0,0,2,13373,5826160000,435677,BE
1996,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
1997,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,0,0,2,15484,14718710000,950597,BE
1997,BE21,Prov. Antwerpen,0,0,2,16371,26776280000,1635640,BE
1997,BE22,Prov. Limburg (BE),0,0,2,14370,11208270000,779969,BE
1997,BE23,Prov. Oost-Vlaanderen,0,0,2,16556,22428420000,1354737,BE
1997,BE24,Prov. Vlaams-Brabant,0,0,2,19795,19888160000,1004692,BE
1997,BE25,Prov. West-Vlaanderen,0,0,2,15272,17162480000,1123786,BE
1997,BE31,Prov. Brabant wallon,0,0,2,19208,6560890000,341565,BE
1997,BE32,Prov. Hainaut,0,0,2,12041,15464740000,1284347,BE
1997,BE33,Prov. Liège,0,0,2,13199,13395960000,1014941,BE
1997,BE34,Prov. Luxembourg (BE),0,0,2,13130,3184250000,242526,BE
1997,BE35,Prov. Namur,0,0,2,13928,6092620000,437426,BE
1997,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
1998,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,0,0,2,15837,15095560000,953175,BE
1998,BE21,Prov. Antwerpen,0,0,2,16840,27582010000,1637857,BE
1998,BE22,Prov. Limburg (BE),0,0,2,14714,11535030000,783927,BE
1998,BE23,Prov. Oost-Vlaanderen,0,0,2,17000,23078630000,1357576,BE
1998,BE24,Prov. Vlaams-Brabant,0,0,2,20424,20584730000,1007882,BE
1998,BE25,Prov. West-Vlaanderen,0,0,2,15634,17590860000,1125140,BE
1998,BE31,Prov. Brabant wallon,0,0,2,19667,6775520000,344508,BE
1998,BE32,Prov. Hainaut,0,0,2,12299,15776780000,1282783,BE
1998,BE33,Prov. Liège,0,0,2,13420,13645380000,1016762,BE
1998,BE34,Prov. Luxembourg (BE),0,0,2,13278,3237060000,243790,BE
1998,BE35,Prov. Namur,0,0,2,14231,6245650000,438864,BE
1998,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
1999,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,0,0,2,16424,15676130000,954460,BE
1999,BE21,Prov. Antwerpen,0,0,2,17514,28739170000,1640966,BE
1999,BE22,Prov. Limburg (BE),0,0,2,15337,12078130000,787491,BE
1999,BE23,Prov. Oost-Vlaanderen,0,0,2,17728,24104320000,1359702,BE
1999,BE24,Prov. Vlaams-Brabant,0,0,2,21211,21457000000,1011588,BE
1999,BE25,Prov. West-Vlaanderen,0,0,2,16186,18242850000,1127091,BE
1999,BE31,Prov. Brabant wallon,0,0,2,20484,7116540000,347423,BE
1999,BE32,Prov. Hainaut,0,0,2,12797,16386060000.000002,1280427,BE
1999,BE33,Prov. Liège,0,0,2,14111,14369020000,1018259,BE
1999,BE34,Prov. Luxembourg (BE),0,0,2,13942,3417670000,245140,BE
1999,BE35,Prov. Namur,0,0,2,14892,6570450000,441205,BE
